"filename", "language", "Python", "pip requirements", "YAML", "Markdown", "Docker", "HTML", "MS SQL", "JSON", "comment", "blank", "total"
"c:\Users\joy14_hq\Desktop\Graduation Project\dotori_backend\Dockerfile", "Docker", 0, 0, 0, 0, 8, 0, 0, 0, 0, 1, 9
"c:\Users\joy14_hq\Desktop\Graduation Project\dotori_backend\README.md", "Markdown", 0, 0, 0, 17, 0, 0, 0, 0, 0, 3, 20
"c:\Users\joy14_hq\Desktop\Graduation Project\dotori_backend\apps\dotori_accounts\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\joy14_hq\Desktop\Graduation Project\dotori_backend\apps\dotori_accounts\jwt_views.py", "Python", 33, 0, 0, 0, 0, 0, 0, 0, 10, 11, 54
"c:\Users\joy14_hq\Desktop\Graduation Project\dotori_backend\apps\dotori_accounts\migrations\0001_initial.py", "Python", 19, 0, 0, 0, 0, 0, 0, 0, 1, 7, 27
"c:\Users\joy14_hq\Desktop\Graduation Project\dotori_backend\apps\dotori_accounts\migrations\0002_profile_phone_phoneverification.py", "Python", 28, 0, 0, 0, 0, 0, 0, 0, 1, 6, 35
"c:\Users\joy14_hq\Desktop\Graduation Project\dotori_backend\apps\dotori_accounts\migrations\0003_profile_accessible_mode_profile_difficulty_level_and_more.py", "Python", 42, 0, 0, 0, 0, 0, 0, 0, 1, 6, 49
"c:\Users\joy14_hq\Desktop\Graduation Project\dotori_backend\apps\dotori_accounts\migrations\0004_remove_profile_accessible_mode_and_more.py", "Python", 60, 0, 0, 0, 0, 0, 0, 0, 1, 6, 67
"c:\Users\joy14_hq\Desktop\Graduation Project\dotori_backend\apps\dotori_accounts\migrations\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\joy14_hq\Desktop\Graduation Project\dotori_backend\apps\dotori_accounts\models.py", "Python", 95, 0, 0, 0, 0, 0, 0, 0, 7, 25, 127
"c:\Users\joy14_hq\Desktop\Graduation Project\dotori_backend\apps\dotori_accounts\serializers.py", "Python", 90, 0, 0, 0, 0, 0, 0, 0, 5, 23, 118
