"filename", "language", "JSON", "C++", "HTML", "YAML", "CMake", "Markdown", "XML", "Swift", "Dart", "Java Properties", "comment", "blank", "total"
"c:\Users\joy14_hq\Desktop\Graduation Project\dotori_flutter_client\README.md", "Markdown", 0, 0, 0, 0, 0, 19, 0, 0, 0, 0, 0, 7, 26
"c:\Users\joy14_hq\Desktop\Graduation Project\dotori_flutter_client\analysis_options.yaml", "YAML", 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 2, 7
"c:\Users\joy14_hq\Desktop\Graduation Project\dotori_flutter_client\android\app\src\debug\AndroidManifest.xml", "XML", 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 4, 1, 8
"c:\Users\joy14_hq\Desktop\Graduation Project\dotori_flutter_client\android\app\src\main\AndroidManifest.xml", "XML", 0, 0, 0, 0, 0, 0, 29, 0, 0, 0, 1, 10, 40
"c:\Users\joy14_hq\Desktop\Graduation Project\dotori_flutter_client\android\app\src\main\res\drawable-v21\launch_background.xml", "XML", 0, 0, 0, 0, 0, 0, 9, 0, 0, 0, 0, 1, 10
"c:\Users\joy14_hq\Desktop\Graduation Project\dotori_flutter_client\android\app\src\main\res\drawable\launch_background.xml", "XML", 0, 0, 0, 0, 0, 0, 9, 0, 0, 0, 0, 1, 10
"c:\Users\joy14_hq\Desktop\Graduation Project\dotori_flutter_client\android\app\src\main\res\values-night-v31\styles.xml", "XML", 0, 0, 0, 0, 0, 0, 12, 0, 0, 0, 7, 1, 20
"c:\Users\joy14_hq\Desktop\Graduation Project\dotori_flutter_client\android\app\src\main\res\values-night\styles.xml", "XML", 0, 0, 0, 0, 0, 0, 13, 0, 0, 0, 9, 1, 23
"c:\Users\joy14_hq\Desktop\Graduation Project\dotori_flutter_client\android\app\src\main\res\values-v31\styles.xml", "XML", 0, 0, 0, 0, 0, 0, 12, 0, 0, 0, 7, 1, 20
"c:\Users\joy14_hq\Desktop\Graduation Project\dotori_flutter_client\android\app\src\main\res\values\styles.xml", "XML", 0, 0, 0, 0, 0, 0, 13, 0, 0, 0, 9, 1, 23
"c:\Users\joy14_hq\Desktop\Graduation Project\dotori_flutter_client\android\app\src\main\res\xml\network_security_config.xml", "XML", 0, 0, 0, 0, 0, 0, 7, 0, 0, 0, 0, 2, 9
"c:\Users\joy14_hq\Desktop\Graduation Project\dotori_flutter_client\android\app\src\profile\AndroidManifest.xml", "XML", 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 4, 1, 8
"c:\Users\joy14_hq\Desktop\Graduation Project\dotori_flutter_client\android\gradle.properties", "Java Properties", 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 1, 4
"c:\Users\joy14_hq\Desktop\Graduation Project\dotori_flutter_client\android\gradle\wrapper\gradle-wrapper.properties", "Java Properties", 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 1, 6
"c:\Users\joy14_hq\Desktop\Graduation Project\dotori_flutter_client\ios\RunnerTests\RunnerTests.swift", "Swift", 0, 0, 0, 0, 0, 0, 0, 7, 0, 0, 2, 4, 13
"c:\Users\joy14_hq\Desktop\Graduation Project\dotori_flutter_client\ios\Runner\AppDelegate.swift", "Swift", 0, 0, 0, 0, 0, 0, 0, 12, 0, 0, 0, 2, 14
"c:\Users\joy14_hq\Desktop\Graduation Project\dotori_flutter_client\ios\Runner\Assets.xcassets\AppIcon.appiconset\Contents.json", "JSON", 122, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 123
"c:\Users\joy14_hq\Desktop\Graduation Project\dotori_flutter_client\ios\Runner\Assets.xcassets\LaunchBackground.imageset\Contents.json", "JSON", 21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 22
"c:\Users\joy14_hq\Desktop\Graduation Project\dotori_flutter_client\ios\Runner\Assets.xcassets\LaunchImage.imageset\Contents.json", "JSON", 23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 24
"c:\Users\joy14_hq\Desktop\Graduation Project\dotori_flutter_client\ios\Runner\Assets.xcassets\LaunchImage.imageset\README.md", "Markdown", 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 2, 5
"c:\Users\joy14_hq\Desktop\Graduation Project\dotori_flutter_client\ios\Runner\Base.lproj\LaunchScreen.storyboard", "XML", 0, 0, 0, 0, 0, 0, 43, 0, 0, 0, 1, 1, 45
"c:\Users\joy14_hq\Desktop\Graduation Project\dotori_flutter_client\ios\Runner\Base.lproj\Main.storyboard", "XML", 0, 0, 0, 0, 0, 0, 25, 0, 0, 0, 1, 1, 27
"c:\Users\joy14_hq\Desktop\Graduation Project\dotori_flutter_client\ios\Runner\Runner-Bridging-Header.h", "C++", 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2
"c:\Users\joy14_hq\Desktop\Graduation Project\dotori_flutter_client\lib\config.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 6, 2, 11
"c:\Users\joy14_hq\Desktop\Graduation Project\dotori_flutter_client\lib\main.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 181, 0, 361, 67, 609
"c:\Users\joy14_hq\Desktop\Graduation Project\dotori_flutter_client\lib\screens\analytics\admin_analytics_screen.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 529, 0, 118, 42, 689
"c:\Users\joy14_hq\Desktop\Graduation Project\dotori_flutter_client\lib\screens\analytics\user_analytics_screen.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 790, 0, 429, 94, 1313
"c:\Users\joy14_hq\Desktop\Graduation Project\dotori_flutter_client\lib\screens\detector_audio_screen.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 102, 21, 123
"c:\Users\joy14_hq\Desktop\Graduation Project\dotori_flutter_client\lib\screens\detector_home_screen.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 276, 0, 493, 62, 831
"c:\Users\joy14_hq\Desktop\Graduation Project\dotori_flutter_client\lib\screens\detector_image_screen.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 235, 0, 141, 41, 417
"c:\Users\joy14_hq\Desktop\Graduation Project\dotori_flutter_client\lib\screens\detector_text_screen.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 179, 0, 72, 22, 273
"c:\Users\joy14_hq\Desktop\Graduation Project\dotori_flutter_client\lib\screens\detector_video_screen.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 268, 0, 138, 46, 452
"c:\Users\joy14_hq\Desktop\Graduation Project\dotori_flutter_client\lib\screens\home_screen.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 507, 0, 527, 107, 1141
"c:\Users\joy14_hq\Desktop\Graduation Project\dotori_flutter_client\lib\screens\landing_screen.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 160, 0, 56, 18, 234
"c:\Users\joy14_hq\Desktop\Graduation Project\dotori_flutter_client\lib\screens\login_screen.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 236, 0, 144, 44, 424
"c:\Users\joy14_hq\Desktop\Graduation Project\dotori_flutter_client\lib\screens\membership_overview_screen.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 648, 0, 192, 77, 917
"c:\Users\joy14_hq\Desktop\Graduation Project\dotori_flutter_client\lib\screens\membership_screen.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 346, 0, 209, 71, 626
"c:\Users\joy14_hq\Desktop\Graduation Project\dotori_flutter_client\lib\screens\my_page_screen.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 638, 0, 2138, 303, 3079
"c:\Users\joy14_hq\Desktop\Graduation Project\dotori_flutter_client\lib\screens\point_screen.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 463, 0, 196, 51, 710
"c:\Users\joy14_hq\Desktop\Graduation Project\dotori_flutter_client\lib\screens\quiz_screen.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 388, 0, 279, 66, 733
"c:\Users\joy14_hq\Desktop\Graduation Project\dotori_flutter_client\lib\screens\register_screen.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 463, 0, 326, 82, 871
"c:\Users\joy14_hq\Desktop\Graduation Project\dotori_flutter_client\lib\screens\roleplay_screen.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 421, 0, 509, 107, 1037
"c:\Users\joy14_hq\Desktop\Graduation Project\dotori_flutter_client\lib\screens\splash_screen.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 116, 0, 35, 15, 166
"c:\Users\joy14_hq\Desktop\Graduation Project\dotori_flutter_client\lib\screens\summary_screen.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 454, 0, 305, 87, 846
"c:\Users\joy14_hq\Desktop\Graduation Project\dotori_flutter_client\lib\services\analytics_api_service.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 27, 0, 2, 8, 37
"c:\Users\joy14_hq\Desktop\Graduation Project\dotori_flutter_client\lib\services\api_client.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 148, 0, 17, 24, 189
"c:\Users\joy14_hq\Desktop\Graduation Project\dotori_flutter_client\lib\services\auth_service.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 243, 0, 18, 34, 295
"c:\Users\joy14_hq\Desktop\Graduation Project\dotori_flutter_client\lib\services\detector_service.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 140, 0, 16, 22, 178
"c:\Users\joy14_hq\Desktop\Graduation Project\dotori_flutter_client\lib\services\membership_api_service.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 137, 0, 24, 41, 202
"c:\Users\joy14_hq\Desktop\Graduation Project\dotori_flutter_client\lib\services\membership_service.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 214, 0, 2, 35, 251
"c:\Users\joy14_hq\Desktop\Graduation Project\dotori_flutter_client\lib\services\quiz_service.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 43, 0, 6, 5, 54
"c:\Users\joy14_hq\Desktop\Graduation Project\dotori_flutter_client\lib\services\roleplay_service.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 86, 0, 7, 17, 110
"c:\Users\joy14_hq\Desktop\Graduation Project\dotori_flutter_client\lib\services\summary_service.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 123, 0, 11, 23, 157
"c:\Users\joy14_hq\Desktop\Graduation Project\dotori_flutter_client\lib\theme\app_theme.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 31, 0, 7, 7, 45
"c:\Users\joy14_hq\Desktop\Graduation Project\dotori_flutter_client\lib\widgets\dotori_button.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 77, 0, 22, 13, 112
"c:\Users\joy14_hq\Desktop\Graduation Project\dotori_flutter_client\lib\widgets\feature_carousel.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 84, 0, 8, 19, 111
"c:\Users\joy14_hq\Desktop\Graduation Project\dotori_flutter_client\lib\widgets\feature_carousel_item.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 219, 0, 12, 27, 258
"c:\Users\joy14_hq\Desktop\Graduation Project\dotori_flutter_client\lib\widgets\home_feature_card.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 66, 0, 2, 4, 72
